1,"来一首大悲咒。	2017/12/30 12:36","读一曲叙事的词。	2017/12/30 12:36","大悲咒大悲咒。	2017/12/30 12:37",{"song": "大悲咒"}
2,"这鬼。	2017/11/29 18:14","这鬼。	2017/11/29 18:15","这鬼张杰。	2017/11/29 18:16",{"code":"No-music"}
3,"严凤英唱的黄梅戏	2017/10/26 14:49","听天仙配	2017/10/26 14:49","听黄梅戏	2017/10/26 16:39",{"genre": "黄梅戏"}
4,"你怎么这么快就跳完了，小笨？	2017/12/1 18:29","给我唱歌跳舞。	2017/12/1 18:30","唱歌跳舞。	2017/12/1 18:31",{"song": "唱歌跳舞"}
5,"汽车脸谱。	2017/11/20 21:20","大家。	2017/11/20 21:20","我想知道。	2017/11/20 21:20",{"code":"code":"No-music"}
6,"起床好。	2017/12/30 9:06","这样。	2017/12/30 9:06","我要听起床好。	2017/12/30 9:07",{"song": "起床好"}
7,"老公我爱你。	2017/10/26 7:06","老公我爱你老公老公我爱你。	2017/10/26 7:06","老公你在哪。	2017/10/26 7:15",{"code":"No-music"}
8,"搜索艾薇儿的歌。	2017/11/29 23:47","播放轮回之境。	2017/11/29 23:48","搜索护花使者。	2017/11/29 23:56",{"song": "护花使者"}
9,"发现。	2017/12/4 20:29","你唱什么歌。	2017/12/4 20:30","唱白龙马。	2017/12/4 20:31",{"song": "白龙马"}
10,"这位奇女子的名声已经冲出中国走向亚洲，在日本和韩国，王睡觉有着广泛的知名度，而在说那你要说你不知道王翠翘，人家会笑你没有读过书，因为在越南的文学史上大致就相当于中国的红楼梦，其影响力之大可见一斑。	2017/11/29 12:18","似海之情永存。	2017/11/29 12:18","阿黛尔的歌。	2017/11/29 18:16",{"artist": "阿黛尔"}
11,"从崂山我问你你的家乡在哪。	2017/11/29 12:39","谭咏麟。	2017/11/29 17:38","一生所爱谭咏麟。	2017/11/29 17:39",{"artist": "谭咏麟", "song": "一生所爱"}
12,"吴伟。	2017/10/26 13:31","这辈子的命啊，现在被突然作业了，这两天没给我们两家名牌店啊，糟了，的笑容。	2017/10/26 13:31","我是你妈。	2017/10/26 13:31",{"code":"No-music"}
